2017-04-09 18:46:26,439 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:46:26,443 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\BuildAHouse\src\test\resources
2017-04-09 18:46:41,995 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:46:42,006 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-09 18:46:42,008 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:46:42,012 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\BuildAHouse\src\test\resources
2017-04-09 18:47:01,358 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:47:01,367 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-09 18:47:01,368 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:47:01,373 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\BuildAHouse\src\test\resources
2017-04-09 18:47:19,578 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.reti.minecraft:BuildAHouse:0.0.1-SNAPSHOT @ D:\projects\Minecraft-Hackathon\BuildAHouse\pom.xml.
2017-04-09 18:47:19,693 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:47:19,699 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-09 18:47:19,700 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:47:19,704 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\BuildAHouse\src\test\resources
2017-04-09 18:47:54,829 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\projects\Minecraft-Hackathon\BuildAHouse
2017-04-09 18:47:54,830 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B packages
2017-04-09 18:48:07,370 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\projects\Minecraft-Hackathon\BuildAHouse
2017-04-09 18:48:07,370 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B package
2017-04-09 18:51:18,101 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:51:18,103 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-09 18:51:18,108 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:51:18,108 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\BuildAHouse\src\test\resources
2017-04-09 18:51:32,767 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.reti.minecraft:SkyCmd:0.0.1-SNAPSHOT @ D:\projects\Minecraft-Hackathon\SkyCmd\pom.xml.
2017-04-09 18:51:32,985 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SkyCmd/src
2017-04-09 18:51:32,986 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SkyCmd/src/test/java because it overlaps with /SkyCmd/src
2017-04-09 18:51:33,080 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-04-09 18:51:33,134 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.reti.minecraft:SkyCmd:0.0.1-SNAPSHOT @ D:\projects\Minecraft-Hackathon\SkyCmd\pom.xml.
2017-04-09 18:51:33,402 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SkyCmd/src
2017-04-09 18:51:33,402 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /SkyCmd/src/test/java because it overlaps with /SkyCmd/src
2017-04-09 18:51:33,520 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-04-09 18:51:33,733 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:51:33,734 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\SkyCmd\src\main\resources
2017-04-09 18:51:33,735 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:51:33,735 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\SkyCmd\src\test\resources
2017-04-09 18:51:42,058 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.reti.minecraft:BuildAHouse:0.0.1-SNAPSHOT @ D:\projects\Minecraft-Hackathon\SkyCmd\pom.xml.
2017-04-09 18:51:42,108 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:51:42,109 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\SkyCmd\src\resources
2017-04-09 18:51:42,110 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:51:42,111 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\SkyCmd\src\test\resources
2017-04-09 18:51:44,791 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: it.reti.minecraft:SkyCmd:0.0.1-SNAPSHOT @ D:\projects\Minecraft-Hackathon\SkyCmd\pom.xml.
2017-04-09 18:51:45,127 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-09 18:51:45,127 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\projects\Minecraft-Hackathon\SkyCmd\src\resources
2017-04-09 18:51:45,128 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
